case_id,species,age_years,treatment_group,survival_months
CASE-001,canine,8.5,1,24.0
CASE-002,canine,10.2,0,18.5
CASE-003,feline,5.1,1,36.0
CASE-004,canine,12.0,0,12.0
CASE-005,feline,7.3,1,30.0
CASE-006,canine,6.8,0,22.0
CASE-007,feline,4.2,1,NA
CASE-008,canine,9.5,1,28.0
CASE-009,feline,11.1,0,15.5
CASE-010,canine,3.7,1,42.0
CASE-011,feline,6.0,0,20.0
CASE-012,canine,14.5,0,8.0
CASE-013,feline,8.8,1,26.5
CASE-014,canine,7.0,1,33.0
CASE-015,feline,5.5,0,19.0
CASE-016,canine,11.8,1,17.0
CASE-017,feline,3.0,0,38.0
CASE-018,canine,10.0,0,14.5
CASE-019,feline,9.2,1,25.0
CASE-020,canine,5.3,1,35.5
CASE-021,feline,7.7,0,21.0
CASE-022,canine,13.2,1,10.0
CASE-023,feline,4.8,1,32.0
CASE-024,canine,8.0,0,23.5
CASE-025,feline,6.5,1,29.0
CASE-026,canine,2.5,0,44.0
CASE-027,feline,10.5,1,16.5
CASE-028,canine,9.0,1,27.5
CASE-029,feline,5.8,0,NA
CASE-030,canine,11.3,1,13.0
